1FFE,CC54,DA88,EFA4,FDCD,FFE9,0286,0061,
2003,CF14,E104,ECB8,FFA6,FD25,0206,0061,
2008,CD08,DB84,ECA0,FEA0,FDC8,0433,0061,
200D,CF30,DBB0,EA9C,FE31,FF18,05C4,0061,
2012,CF8C,D9E0,EA34,FC35,018D,0556,0061,
2017,D14C,D7FC,ECAC,FC3D,039F,02C3,0061,
201C,D1D0,D87C,EFBC,FD13,02C0,0008,0061,
2021,D240,DACC,F150,FF3E,FFBC,FDD0,0061,
2026,D16C,DA3C,F034,011D,FC67,FBD4,0061,
202B,CFA0,DB60,ED60,01DC,FC3B,FB8E,0061,
2030,CE80,DCF4,EBEC,01CB,FD8A,FBFD,0061,
2035,CDE4,DDB8,EAC0,FF78,FF13,FF05,0061,
203A,CE74,DE0C,EAF0,FD73,0173,01F3,0061,
203F,CF50,DCFC,ECBC,FC8B,02C2,045B,0061,
2044,D09C,DB80,EF20,FC3A,019F,051B,0061,
2049,D1A8,D984,EEBC,FD72,006A,03E2,0061,
204E,D1C8,D838,EF78,FEC4,FF4F,01B7,0061,
2053,D104,D924,EDDC,FFA0,FE91,FF09,0061,
2058,D0F0,D908,ED60,0043,FE9C,FC7E,0061,
205D,CFFC,DB6C,EC94,003A,FF59,FC15,0061,
2062,CF40,DD30,ED64,FFCB,FF91,FD46,0061,
2067,CEF8,DDF0,ED04,FF17,FFA8,FF8D,0061,
206C,CF7C,DD98,ECF0,FE34,FFED,0298,0061,
2071,CFEC,DC20,ED94,FD7C,FFF1,044E,0061,
2076,D118,DB0C,EC34,FCB2,0053,04CB,0061,
207B,D118,D890,EEA0,FD8B,009D,03FA,0061,
2080,CF70,D6B0,EE14,FE79,FEB4,0078,0061,
2085,D088,D99C,ECB4,005D,FF19,FC96,0061,
208A,CF28,DBCC,EE10,00F4,005C,FC5B,0061,
208F,CF1C,DD24,EE30,FF35,FEC7,FEAE,0061,
2094,CF64,DC78,EBF4,FEFE,FF80,0023,0061,
2099,CFE4,D9E8,ED60,FE44,0080,0143,0061,
209E,D058,D97C,ED10,FDCF,0034,0073,0061,
20A3,D0B4,D864,EDDC,FDF3,0067,FEE7,0061,
20A8,D09C,D880,EF54,FED5,0072,FD5A,0061,
20AD,D0C8,D960,EF34,00B6,FE49,F957,0061,
20B2,CF34,DCD8,ECE0,0155,FFCF,FA31,0061,
20B7,CF70,DCD4,EEC4,025A,FE88,FAC7,0061,
20BC,CE84,E074,EAC4,FDB6,FCBA,FFEA,0061,
20C1,D110,DB78,E7D0,FCD1,FE40,FE69,0061,
20C6,D0DC,D9CC,EE34,FDEA,0453,04D2,0061,
20CB,D350,DB80,F07C,FB60,FEC2,049C,0061,
20D0,D0B0,D5E8,ECA0,FAC7,012E,03F4,0061,
20D5,D3C0,D6F0,F0F4,01DE,011E,FD78,0061,
20DA,D130,D8F4,F120,FF4D,FDA1,0028,0061,
20DF,D108,D644,EF20,032C,FBF4,FA78,0061,
20E4,D050,D954,E900,008B,FE63,F9A6,0061,
20E9,C8EC,CEA0,F58C,02D9,02AA,F837,0061,
20EE,D008,E770,E8D8,0621,004B,F326,0061,
20F3,D0B0,D7E4,EF54,0365,005F,FA89,0061,
20F8,D0D8,DC1C,EEB4,FEB4,FF1B,0229,0061,
20FD,D33C,D9C0,EDF8,0319,FEA7,FDBC,0061,
2102,D588,D4CC,ED58,FB9F,FF3E,0371,0061,
2107,D554,DA4C,E9FC,FE98,04ED,FE24,0061,
210C,D0C8,D948,F5B4,054C,04EC,FA75,0061,
2111,D330,E40C,EFF8,014B,FAA4,FCAB,0061,
2116,CAEC,E274,E988,0328,026B,FEEE,0061,
211B,CB80,F464,F3BC,0E8E,0A0E,0C3E,0061,
2120,CB90,E100,F880,FB6B,F67C,280D,0061,
2125,C720,CF74,E340,00AD,FFCD,23D1,0061,
212A,D1D0,CF54,EAC4,02A8,0D56,21C8,0061,
212F,D0E8,C5E8,F2DC,F89A,0425,199C,0061,
2134,D158,C378,E9F8,F5D1,02CE,0C39,0061,
2139,D050,C6B8,EB50,029D,0749,F1F7,0061,
213E,CE1C,D9AC,EDEC,0937,0414,E75B,0061,
2143,CAF0,EC50,EC34,FEF8,0237,F84E,0061,
2148,C504,E09C,ECE8,021E,FA4B,033F,0061,
214D,BDB4,DBBC,E880,03BB,F971,121B,0061,
2152,B974,C8E4,EA08,04EF,F075,1603,0061,
2157,B4EC,B8A4,DEF0,0214,F101,1646,0061,
215C,B2D4,AE90,D750,0065,FE72,08B1,0061,
2161,B3AC,A8E4,D0B4,FA1B,0A01,F05A,0061,
2166,B570,AAC8,CE58,DF2A,2425,DD6C,0061,
216B,B594,BE74,D674,DCC7,3CB8,C1DE,0061,
2170,B890,CC44,EEB8,D2A3,41CD,BB76,0061,
2175,B910,D8B8,F7B8,D167,3A91,B890,0061,
217A,BB48,DEF4,F870,DC04,3132,B7D9,0061,
217F,B974,D63C,EF68,D65F,1BC8,B84C,0061,
2184,C1B8,F8CC,D8C4,DE32,3F03,C1DF,0061,
2189,C3C4,EA08,E56C,D6B6,4520,CC33,0061,
218E,CA28,E674,E320,C172,47BD,E864,0061,
2193,CF44,E5A4,E298,CFD4,54D0,DDE7,0061,
2198,D928,E814,F480,D611,5BC6,EA50,0061,
219D,EF30,ECBC,F190,CBFE,4A83,FEB7,0061,
21A2,F4EC,DF64,DC48,D352,510A,FC43,0061,
21A7,023C,E034,E684,E810,5C02,F17F,0061,
21AC,153C,E8CC,EFFC,F4DF,435E,DB36,0061,
21B1,13A8,E408,ECE4,F8D4,333F,DA50,0061,
21B6,1B14,F9A0,DC08,0546,2684,CE7E,0061,
21BB,1468,E9DC,E6A0,0D97,17E2,D1E6,0061,
21C0,11C4,EE6C,DAA8,0717,0DED,E2F8,0061,
21C5,0C3C,DFB0,D18C,0F71,08F6,DD88,0061,
21CA,1328,E294,C714,09A2,0D68,E73A,0061,
21CF,0FDC,DC40,C6FC,0066,14AE,E8BE,0061,
